text,label
wie viele oberteile sind noch verfügbar,3
wie viele oberteile gibt es noch,3
wie viele oberteile hast du noch,3
wie viele oberteile sind im lager,3
wie viele oberteile sind noch vorrätig,3
wie viele oberteile gibt es noch auf lager,3
wie viele oberteile sind noch im bestand,3
wie viele oberteile hast du im lager,3
wie viele oberteile fehlen im bestand,3
wie viele oberteile gibt es noch im lager,3
wie viele oberteile sind noch auf lager,3
wie viele oberteile sind noch übrig,3
wie viele oberteile hast du noch im bestand,3
wie viele griffe sind noch verfügbar,3
wie viele griffe gibt es noch,3
wie viele griffe hast du noch,3
wie viele griffe sind im lager,3
wie viele griffe sind noch vorrätig,3
wie viele griffe gibt es noch auf lager,3
wie viele griffe sind noch im bestand,3
wie viele griffe hast du im lager,3
wie viele griffe fehlen im bestand,3
wie viele griffe gibt es noch im lager,3
wie viele griffe sind noch auf lager,3
wie viele griffe sind noch übrig,3
wie viele griffe hast du noch im bestand,3
sag mir die anzahl an oberteilen,3
sag mir die anzahl an griffen,3
gib mir die anzahl an noch vorhandenen oberteilen,3
gib mir die anzahl an noch vorhandenen griffen,3
sind noch kleine schrauben vorhanden,7
hast du noch kleine schrauben,7
gibt es noch kleine schrauben,7
sind kleine schrauben noch verfügbar,7
sind noch kleine schrauben im lager,7
existieren noch kleine schrauben,7
sind kleine schrauben noch auf lager,7
überprüfe ob noch kleine schrauben vorhanden sind,7
kannst du prüfen ob kleine schrauben verfügbar sind,7
prüfe ob noch kleine schrauben im bestand sind,7
checke nach kleinen schrauben,7
ist die kleine schraube noch vorhanden,7
existieren noch kleine schrauben im lager,7
gibt es restbestände von kleinen schrauben,7
sind noch kleine schrauben übrig,7
sind kleine schrauben vorrätig,7
hast du noch kleine schrauben im lager,7
prüfe ob es noch kleine schrauben gibt,7
checke nach kleinen schrauben im bestand,7
überprüfe ob noch kleine schrauben auf lager sind,7
sind noch große schrauben vorhanden,6
hast du noch große schrauben,6
gibt es noch große schrauben,6
sind große schrauben noch verfügbar,6
sind noch große schrauben im lager,6
existieren noch große schrauben,6
sind große schrauben noch auf lager,6
überprüfe ob noch große schrauben vorhanden sind,6
kannst du prüfen ob große schrauben verfügbar sind,6
prüfe ob noch große schrauben im bestand sind,6
checke nach großen schrauben,6
ist die große schraube noch vorhanden,6
existieren noch große schrauben im lager,6
gibt es restbestände von großen schrauben,6
sind noch große schrauben übrig,6
sind große schrauben vorrätig,6
hast du noch große schrauben im lager,6
prüfe ob es noch große schrauben gibt,6
checke nach großen schrauben im bestand,6
überprüfe ob noch große schrauben auf lager sind,6
öffne den linken greifer,18
mach den linken greifer auf,18
lass den linken greifer los,18
löse den linken greifer,18
linker greifer öffnen,18
mach den linken greifer locker,18
lass links los,18
greifer links öffnen,18
bitte öffne den linken greifer,18
sei so gut und öffne den linken greifer,18
lass den linken greifer einfach los,18
mach den linken greifer auf,18
kannst du den linken greifer aufmachen,18
könntest du den linken greifer lösen,18
bitte lass den linken greifer los,18
lass die linke seite los,18
beende den linken griff,18
mach links auf,18
linke seite öffnen,18
löse die linke seite,18
öffne den rechten greifer,19
mach den rechten greifer auf,19
lass den rechten greifer los,19
löse den rechten greifer,19
rechter greifer öffnen,19
mach den rechten greifer locker,19
lass rechts los,19
greifer rechts öffnen,19
bitte öffne den rechten greifer,19
sei so gut und öffne den rechten greifer,19
lass den rechten greifer einfach los,19
mach den rechten greifer auf,19
kannst du den rechten greifer aufmachen,19
könntest du den rechten greifer lösen,19
bitte lass den rechten greifer los,19
lass die rechte seite los,19
mach rechts auf,19
rechte seite öffnen,19
löse die rechte seite,19
wie viele kleine schrauben sind noch verfügbar,2
wie viele kleine schrauben gibt es noch,2
wie viele kleine schrauben hast du noch,2
wie viele kleine schrauben sind im lager,2
wie viele kleine schrauben sind noch vorrätig,2
wie viele kleine schrauben gibt es noch auf lager,2
wie viele kleine schrauben sind noch im bestand,2
wie viele kleine schrauben hast du im lager,2
wie viele kleine schrauben fehlen im bestand,2
wie viele kleine schrauben gibt es noch im lager,2
wie viele kleine schrauben sind noch auf lager,2
wie viele kleine schrauben sind noch übrig,2
wie viele kleine schrauben hast du noch im bestand,2
sag mir die anzahl an kleinen schrauben,2
gib mir die anzahl an noch vorhandenen kleinen schrauben,2
checke die anzahl an kleinen schrauben,2
zähle die verbleibenden kleinen schrauben,2
wie viele kleine schrauben sind noch da,2
wie viele kleine schrauben gibt es im lager,2
wie viele große schrauben sind noch verfügbar,1
wie viele große schrauben gibt es noch,1
wie viele große schrauben hast du noch,1
wie viele große schrauben sind im lager,1
wie viele große schrauben sind noch vorrätig,1
wie viele große schrauben gibt es noch auf lager,1
wie viele große schrauben sind noch im bestand,1
wie viele große schrauben hast du im lager,1
wie viele große schrauben fehlen im bestand,1
wie viele große schrauben gibt es noch im lager,1
wie viele große schrauben sind noch auf lager,1
wie viele große schrauben sind noch übrig,1
wie viele große schrauben hast du noch im bestand,1
sag mir die anzahl an großen schrauben,1
gib mir die anzahl an noch vorhandenen großen schrauben,1
checke die anzahl an großen schrauben,1
zähle die verbleibenden großen schrauben,1
wie viele große schrauben sind noch da,1
wie viele große schrauben gibt es im lager,1
gib mir die kleine schraube,16
kannst du mir bitte die kleine schraube geben,16
reich mir die kleine schraube,16
ich brauche die kleine schraube,16
hol mir die kleine schraube,16
bring mir die kleine schraube,16
könntest du mir die kleine schraube reichen,16
reich mir bitte die kleine schraube,16
hast du die kleine schraube für mich,16
hol bitte die kleine schraube für mich,16
gib mir schnell die kleine schraube,16
kannst du die kleine schraube rüberreichen,16
gib mir bitte die kleine schraube,16
reich mir die kleine schraube mal eben,16
bring mir bitte die kleine schraube rüber,16
kannst du mir die kleine schraube zuschieben,16
hast du die kleine schraube da,16
schieb mir die kleine schraube herüber,16
hol mir doch schnell die kleine schraube,16
reich mir doch bitte die kleine schraube,16
könntest du mir die kleine schraube mal geben,16
gib mir doch die kleine schraube,16
reich mir doch die kleine schraube,16
bring mir bitte die kleine schraube,16
kannst du mir die kleine schraube bringen,16
reich mir einfach die kleine schraube,16
hol mir bitte die schraube die kleine,16
komm schon gib mir die kleine schraube,16
hast du die kleine schraube für mich dabei,16
kannst du mir die kleine schraube rübergeben,16
gib mir eine kleine schraube,16
kannst du mir bitte eine kleine schraube geben,16
reich mir eine kleine schraube,16
ich brauche eine kleine schraube,16
hol mir eine kleine schraube,16
bring mir eine kleine schraube,16
könntest du mir eine kleine schraube reichen,16
reich mir bitte eine kleine schraube,16
hast du eine kleine schraube für mich,16
hol bitte eine kleine schraube für mich,16
gib mir schnell eine kleine schraube,16
kannst du eine kleine schraube rüberreichen,16
gib mir bitte eine kleine schraube,16
reich mir eine kleine schraube mal eben,16
bring mir bitte eine kleine schraube rüber,16
kannst du mir eine kleine schraube zuschieben,16
hast du eine kleine schraube da,16
schieb mir eine kleine schraube herüber,16
hol mir doch schnell eine kleine schraube,16
reich mir doch bitte eine kleine schraube,16
könntest du mir eine kleine schraube mal geben,16
gib mir doch eine kleine schraube,16
reich mir doch eine kleine schraube,16
bring mir bitte eine kleine schraube,16
kannst du mir eine kleine schraube bringen,16
reich mir einfach eine kleine schraube,16
hol mir bitte die schraube die kleine,16
komm schon gib mir eine kleine schraube,16
hast du eine kleine schraube für mich dabei,16
kannst du mir eine kleine schraube rübergeben,16
gib mir die große schraube,15
kannst du mir bitte die große schraube geben,15
reich mir die große schraube,15
ich brauche die große schraube,15
hol mir die große schraube,15
bring mir die große schraube,15
könntest du mir die große schraube reichen,15
reich mir bitte die große schraube,15
hast du die große schraube für mich,15
hol bitte die große schraube für mich,15
gib mir schnell die große schraube,15
kannst du die große schraube rüberreichen,15
gib mir bitte die große schraube,15
reich mir die große schraube mal eben,15
bring mir bitte die große schraube rüber,15
kannst du mir die große schraube zuschieben,15
hast du die große schraube da,15
schieb mir die große schraube herüber,15
hol mir doch schnell die große schraube,15
reich mir doch bitte die große schraube,15
könntest du mir die große schraube mal geben,15
gib mir doch die große schraube,15
reich mir doch die große schraube,15
bring mir bitte die große schraube,15
kannst du mir die große schraube bringen,15
reich mir einfach die große schraube,15
hol mir bitte die schraube die große,15
komm schon gib mir die große schraube,15
hast du die große schraube für mich dabei,15
kannst du mir die große schraube rübergebenkannst du mir bitte eine große schraube geben,15
reich mir eine große schraube,15
ich brauche eine große schraube,15
hol mir eine große schraube,15
bring mir eine große schraube,15
könntest du mir eine große schraube reichen,15
reich mir bitte eine große schraube,15
hast du eine große schraube für mich,15
hol bitte eine große schraube für mich,15
gib mir schnell eine große schraube,15
kannst du eine große schraube rüberreichen,15
gib mir bitte eine große schraube,15
reich mir eine große schraube mal eben,15
bring mir bitte eine große schraube rüber,15
kannst du mir eine große schraube zuschieben,15
hast du eine große schraube da,15
schieb mir eine große schraube herüber,15
hol mir doch schnell eine große schraube,15
reich mir doch bitte eine große schraube,15
könntest du mir eine große schraube mal geben,15
gib mir doch eine große schraube,15
reich mir doch eine große schraube,15
bring mir bitte eine große schraube,15
kannst du mir eine große schraube bringen,15
reich mir einfach eine große schraube,15
hol mir bitte die schraube die große,15
komm schon gib mir eine große schraube,15
hast du eine große schraube für mich dabei,15
kannst du mir eine große schraube rübergeben,15
gib mir den griff,14
kannst du mir bitte den griff geben,14
reich mir den griff,14
ich brauche den griff,14
hol mir den griff,14
bring mir den griff,14
könntest du mir den griff reichen,14
reich mir bitte den griff,14
hast du den griff für mich,14
hol bitte den griff für mich,14
gib mir das oberteil,14
kannst du mir bitte das oberteil geben,14
reich mir das oberteil,14
ich brauche das oberteil,14
hol mir das oberteil,14
bring mir das oberteil,14
könntest du mir das oberteil reichen,14
reich mir bitte das oberteil,14
hast du das oberteil für mich,14
hol bitte das oberteil für mich,14
gib mir schnell den griff,14
kannst du den griff rüberreichen,14
reich mir den griff mal eben,14
bring mir bitte den griff rüber,14
hol mir den griff schnell,14
schieb mir den griff herüber,14
reich mir einfach den griff,14
gib mir den griff bitte sofort,14
hol mir doch schnell den griff,14
komm schon gib mir den griff,14
reich mir den griff bitte,14
hast du den griff hier,14
hol den griff für mich,14
kannst du mir den griff kurz geben,14
gib mir schnell das oberteil,14
kannst du das oberteil rüberreichen,14
reich mir das oberteil mal eben,14
bring mir bitte das oberteil rüber,14
hol mir das oberteil schnell,14
schieb mir das oberteil herüber,14
reich mir einfach das oberteil,14
gib mir das oberteil bitte sofort,14
hol mir doch schnell das oberteil,14
komm schon gib mir das oberteil,14
reich mir das oberteil bitte,14
hast du das oberteil hier,14
hol das oberteil für mich,14
kannst du mir das oberteil kurz geben,14
kannst du mir bitte ein griff geben,14
reich mir ein griff,14
ich brauche ein griff,14
hol mir ein griff,14
bring mir ein griff,14
könntest du mir ein griff reichen,14
reich mir bitte ein griff,14
hast du ein griff für mich,14
hol bitte ein griff für mich,14
gib mir ein oberteil,14
kannst du mir bitte ein oberteil geben,14
reich mir ein oberteil,14
ich brauche ein oberteil,14
hol mir ein oberteil,14
bring mir ein oberteil,14
könntest du mir ein oberteil reichen,14
reich mir bitte ein oberteil,14
hast du ein oberteil für mich,14
hol bitte ein oberteil für mich,14
gib mir schnell ein griff,14
kannst du ein griff rüberreichen,14
reich mir ein griff mal eben,14
bring mir bitte ein griff rüber,14
hol mir ein griff schnell,14
schieb mir ein griff herüber,14
reich mir einfach ein griff,14
gib mir das griff bitte sofort,14
hol mir doch schnell ein griff,14
komm schon gib mir ein griff,14
reich mir ein griff bitte,14
hast du ein griff hier,14
hol ein griff für mich,14
kannst du mir ein griff kurz geben,14
gib mir schnell ein oberteil,14
kannst du ein oberteil rüberreichen,14
reich mir ein oberteil mal eben,14
bring mir bitte ein oberteil rüber,14
hol mir ein oberteil schnell,14
schieb mir ein oberteil herüber,14
reich mir einfach ein oberteil,14
gib mir das oberteil bitte sofort,14
hol mir doch schnell ein oberteil,14
komm schon gib mir ein oberteil,14
reich mir ein oberteil bitte,14
hast du ein oberteil hier,14
hol ein oberteil für mich,14
kannst du mir ein oberteil kurz geben,14
gib mir die spitze,17
kannst du mir bitte die spitze geben,17
reich mir die spitze,17
ich brauche die spitze,17
hol mir die spitze,17
bring mir die spitze,17
könntest du mir die spitze reichen,17
reich mir bitte die spitze,17
hast du die spitze für mich,17
hol bitte die spitze für mich,17
gib mir das unterteil,17
kannst du mir bitte das unterteil geben,17
reich mir das unterteil,17
ich brauche das unterteil,17
hol mir das unterteil,17
bring mir das unterteil,17
könntest du mir das unterteil reichen,17
reich mir bitte das unterteil,17
hast du das unterteil für mich,17
hol bitte das unterteil für mich,17
gib mir die spitze,17
kannst du mir bitte die spitze geben,17
reich mir die spitze,17
ich brauche die spitze,17
hol mir die spitze,17
bring mir die spitze,17
könntest du mir die spitze reichen,17
reich mir bitte die spitze,17
hast du die spitze für mich,17
hol bitte die spitze für mich,17
gib mir das unterteil,17
kannst du mir bitte das unterteil geben,17
reich mir das unterteil,17
ich brauche das unterteil,17
hol mir das unterteil,17
bring mir das unterteil,17
könntest du mir das unterteil reichen,17
reich mir bitte das unterteil,17
hast du das unterteil für mich,17
hol bitte das unterteil für mich,17
gib mir schnell die spitze,17
kannst du die spitze rüberreichen,17
reich mir die spitze mal eben,17
bring mir bitte die spitze rüber,17
hol mir die spitze schnell,17
schieb mir die spitze herüber,17
reich mir einfach die spitze,17
gib mir die spitze bitte sofort,17
hol mir doch schnell die spitze,17
komm schon gib mir die spitze,17
reich mir die spitze bitte,17
hast du die spitze hier,17
hol die spitze für mich,17
kannst du mir die spitze kurz geben,17
gib mir schnell das unterteil,17
kannst du das unterteil rüberreichen,17
reich mir das unterteil mal eben,17
bring mir bitte das unterteil rüber,17
hol mir das unterteil schnell,17
schieb mir das unterteil herüber,17
reich mir einfach das unterteil,17
gib mir das unterteil bitte sofort,17
hol mir doch schnell das unterteil,17
komm schon gib mir das unterteil,17
reich mir das unterteil bitte,17
hast du das unterteil hier,17
hol das unterteil für mich,17
kannst du mir das unterteil kurz geben,17
gib mir eine spitze,17
kannst du mir bitte eine spitze geben,17
reich mir eine spitze,17
ich brauche eine spitze,17
hol mir eine spitze,17
bring mir eine spitze,17
könntest du mir eine spitze reichen,17
reich mir bitte eine spitze,17
hast du eine spitze für mich,17
hol bitte eine spitze für mich,17
gib mir ein unterteil,17
kannst du mir bitte ein unterteil geben,17
reich mir ein unterteil,17
ich brauche ein unterteil,17
hol mir ein unterteil,17
bring mir ein unterteil,17
könntest du mir ein unterteil reichen,17
reich mir bitte ein unterteil,17
hast du ein unterteil für mich,17
hol bitte ein unterteil für mich,17
gib mir schnell eine spitze,17
kannst du eine spitze rüberreichen,17
reich mir eine spitze mal eben,17
bring mir bitte eine spitze rüber,17
hol mir eine spitze schnell,17
schieb mir eine spitze herüber,17
reich mir einfach eine spitze,17
gib mir die spitze bitte sofort,17
hol mir doch schnell eine spitze,17
komm schon gib mir eine spitze,17
reich mir eine spitze bitte,17
hast du eine spitze hier,17
hol eine spitze für mich,17
kannst du mir eine spitze kurz geben,17
gib mir schnell ein unterteil,17
kannst du ein unterteil rüberreichen,17
reich mir ein unterteil mal eben,17
bring mir bitte ein unterteil rüber,17
hol mir ein unterteil schnell,17
schieb mir ein unterteil herüber,17
reich mir einfach ein unterteil,17
gib mir das unterteil bitte sofort,17
hol mir doch schnell ein unterteil,17
komm schon gib mir ein unterteil,17
reich mir ein unterteil bitte,17
hast du ein unterteil hier,17
hol ein unterteil für mich,17
kannst du mir ein unterteil kurz geben,17
lass alle teile in die halterung fallen,9
lege alle teile in die halterung ab,9
wirf alle teile in die halterung,9
platziere alle teile in der halterung,9
bringe alle teile zur halterung und lasse sie los,9
setze alle teile in die halterung ein,9
schiebe alle teile in die halterung,9
positioniere alle teile in der halterung,9
lass alle teile in die vorrichtung fallen,9
lege alle teile in die vorrichtung ab,9
platziere alle teile in der vorrichtung,9
wirf alle teile in die vorrichtung,9
bringe alle teile zur vorrichtung und lasse sie los,9
setze alle teile in die vorrichtung ein,9
schiebe alle teile in die vorrichtung,9
positioniere alle teile in der vorrichtung,9
lass alle teile in die fixierung fallen,9
lege alle teile in die fixierung ab,9
platziere alle teile in der fixierung,9
wirf alle teile in die fixierung,9
bringe alle teile zur fixierung und lasse sie los,9
setze alle teile in die fixierung ein,9
schiebe alle teile in die fixierung,9
positioniere alle teile in der fixierung,9
lass alle teile sicher in die vorrichtung gleiten,9
positioniere die teile sorgfältig in der vorrichtung,9
lege die teile ordentlich in die fixierung,9
schiebe alle teile vorsichtig in die fixierung,9
wirf die teile locker in die vorrichtung,9
platziere die teile präzise in die fixierung,9
lass die teile schnell in die vorrichtung fallen,9
setze alle teile geschickt in die fixierung ein,9
drücke alle teile fest in die vorrichtung,9
führe alle teile behutsam in die fixierung ein,9
bringe alle teile mit einem ruck in die vorrichtung,9
knall alle teile in die fixierung,9
stell alle teile schnell in die vorrichtung,9
bringe alle teile zur fixierung und schieb sie rein,9
schieb alle teile in die vorrichtung und mach sie fest,9
setz alle teile sicher in die fixierung,9
lass den griff in die halterung fallen,10
lege den griff in die halterung ab,10
platziere den griff in der halterung,10
wirf den griff in die halterung,10
setze den griff in die halterung ein,10
lass das oberteil in die halterung fallen,10
lege das oberteil in die halterung ab,10
platziere das oberteil in der halterung,10
platziere den griff in die halterung,10
wirf das oberteil in die halterung,10
setze das oberteil in die halterung ein,10
bringe den griff oder das oberteil zur halterung und lass es los,10
positioniere den griff oder das oberteil in der halterung,10
schiebe den griff oder das oberteil vorsichtig in die halterung,10
führe den griff oder das oberteil langsam in die halterung ein,10
lass den griff oder das oberteil sanft in die halterung gleiten,10
drücke den griff oder das oberteil in die halterung,10
stelle sicher dass der griff oder das oberteil fest in der halterung sitzt,10
lege den griff oder das oberteil sicher in die halterung ein,10
pack den griff einfach in die halterung,10
hau den griff in die halterung,10
steck den griff in die halterung rein,10
schmeiß das oberteil in die halterung,10
knall den griff da rein,10
setz das ding einfach in die halterung,10
zack griff rein und fertig,10
lass den griff in die vorrichtung fallen,10
lege den griff in die mitte ab,10
platziere den griff in der fixierung,10
stecke den griff in den steckplatz,10
bringe den griff zur auflage und lass ihn los,10
schiebe das oberteil in die fassung,10
setze den griff sicher in den slot,10
fixiere den griff in der halterung,10
lass das oberteil vorsichtig in die vorrichtung gleiten,10
drücke den griff fest in die fixierung,10
stelle sicher dass das oberteil gut in der auflage sitzt,10
schieb den griff locker in den steckplatz,10
leg das oberteil sauber in die vorrichtung,10
pack den griff ordentlich in die fassung,10
drück das ding in die fixierung,10
hau den griff in den steckplatz,10
zack griff in die vorrichtung und gut ist,10
lass ein griff in eine halterung fallen,10
lege ein griff in eine halterung ab,10
platziere ein griff in der halterung,10
wirf ein griff in eine halterung,10
setze ein griff in eine halterung ein,10
lass ein oberteil in eine halterung fallen,10
lege ein oberteil in eine halterung ab,10
platziere ein oberteil in der halterung,10
platziere ein griff in eine halterung,10
wirf ein oberteil in eine halterung,10
setze ein oberteil in eine halterung ein,10
bringe ein griff oder ein oberteil zur halterung und lass es los,10
positioniere ein griff oder ein oberteil in der halterung,10
schiebe ein griff oder ein oberteil vorsichtig in die halterung,10
führe ein griff oder ein oberteil langsam in die halterung ein,10
lass ein griff oder ein oberteil sanft in die halterung gleiten,10
drücke ein griff oder ein oberteil in die halterung,10
stelle sicher dass das griff oder das oberteil fest in die halterung sitzt,10
lege ein griff oder ein oberteil sicher in die halterung ein,10
pack ein griff einfach in die halterung,10
hau ein griff in die halterung,10
steck ein griff in die halterung rein,10
schmeiß ein oberteil in die halterung,10
knall ein griff da rein,10
setz das ding einfach in die halterung,10
zack ein griff rein und fertig,10
lass ein griff in die vorrichtung fallen,10
lege ein griff in die mitte ab,10
platziere ein griff in die fixierung,10
stecke ein griff in den steckplatz,10
bringe ein griff zur auflage und lass ihn los,10
schiebe ein oberteil in die fassung,10
setze ein griff sicher in den slot,10
fixiere ein griff in der halterung,10
lass ein oberteil vorsichtig in die vorrichtung gleiten,10
drücke ein griff fest in die fixierung,10
stelle sicher dass das oberteil gut in der auflage sitzt,10
schieb ein griff locker in den steckplatz,10
leg ein oberteil sauber in die vorrichtung,10
pack ein griff ordentlich in die fassung,10
drück das ding in die fixierung,10
hau ein griff in den steckplatz,10
zack ein griff in die vorrichtung und gut ist,10
lass die spitze in die halterung fallen,13
lege die spitze in die halterung ab,13
platziere die spitze in der halterung,13
wirf die spitze in die halterung,13
setze die spitze in die halterung ein,13
lass das unterteil in die halterung fallen,13
lege das unterteil in die halterung ab,13
platziere das unterteil in der halterung,13
packe die spitze in die halterung,13
wirf das unterteil in die halterung,13
setze das unterteil in die halterung ein,13
bringe die spitze oder das unterteil zur halterung und lass es los,13
positioniere die spitze oder das unterteil in der halterung,13
schiebe die spitze oder das unterteil vorsichtig in die halterung,13
führe die spitze oder das unterteil langsam in die halterung ein,13
lass die spitze oder das unterteil sanft in die halterung gleiten,13
drücke die spitze oder das unterteil in die halterung,13
stelle sicher dass die spitze oder das unterteil fest in der halterung sitzt,13
lege die spitze oder das unterteil sicher in die halterung ein,13
hau die spitze in die halterung,13
steck die spitze in die halterung rein,13
schmeiß das unterteil in die halterung,13
knall die spitze da rein,13
setz das ding einfach in die halterung,13
zack spitze rein und fertig,13
lass die spitze in die vorrichtung fallen,13
lege die spitze in die mitte ab,13
platziere die spitze in der fixierung,13
stecke die spitze in den steckplatz,13
bringe die spitze zur auflage und lass sie los,13
schiebe das unterteil in die fassung,13
setze die spitze sicher in den slot,13
fixiere die spitze in der halterung,13
lass das unterteil vorsichtig in die vorrichtung gleiten,13
drücke die spitze fest in die fixierung,13
stelle sicher dass das unterteil gut in der auflage sitzt,13
schieb die spitze locker in den steckplatz,13
leg das unterteil sauber in die vorrichtung,13
pack die spitze ordentlich in die fassung,13
drück das ding in die fixierung,13
hau die spitze in den steckplatz,13
zack spitze in die vorrichtung und gut ist,13
lass eine spitze in eine halterung fallen,13
lege eine spitze in eine halterung ab,13
platziere eine spitze in der halterung,13
wirf eine spitze in eine halterung,13
setze eine spitze in eine halterung ein,13
lass ein unterteil in eine halterung fallen,13
lege ein unterteil in eine halterung ab,13
platziere ein unterteil in der halterung,13
pack eine spitze in die halterung,13
wirf ein unterteil in eine halterung,13
setze ein unterteil in eine halterung ein,13
bringe eine spitze oder ein unterteil zur halterung und lass es los,13
positioniere eine spitze oder ein unterteil in der halterung,13
schiebe eine spitze oder ein unterteil vorsichtig in die halterung,13
